,en,hi,ta,te,ml,ur,bn,gu,mr,or
en,0.0,13.8,2.44,2.94,2.51,8.08,4.63,7.23,4.8,0.76
hi,17.8,0.0,2.81,4.82,4.02,0.0,7.62,24.3,10.4,0.7
ta,9.7,11.1,0.0,3.41,2.95,0.0,3.23,5.61,3.68,0.49
te,7.19,11.4,2.18,0.0,3.22,0.39,3.58,6.13,4.14,0.3
ml,11.2,14.5,2.43,4.25,0.0,0.0,4.24,7.36,4.72,0.31
ur,15.1,39.6,1.95,3.89,3.27,0.0,6.06,18.4,7.7,0.41
bn,10.8,16.2,1.82,3.51,2.76,0.87,0.0,8.92,5.13,0.41
gu,14.6,37.3,2.26,4.55,3.61,0.55,7.02,0.0,9.73,0.5
mr,11.5,19.5,2.11,3.59,3.33,0.0,5.08,12.7,0.0,0.53
or,3.12,8.41,1.38,1.46,1.15,0.0,3.19,4.89,3.11,0.0
