,en,hi,ta,te,ml,ur,bn,gu,mr,pa
en,0.0,30.4,5.34,9.81,5.94,22.5,13.7,21.4,13.5,21.1
hi,29.4,0.0,8.05,16.1,8.86,58.5,21.5,48.3,26.4,51.4
ta,13.5,20.3,0.0,7.57,5.42,17.0,9.63,14.0,9.04,15.2
te,20.0,29.5,5.64,0.0,6.48,23.8,14.2,21.3,13.4,20.5
ml,16.8,24.1,5.57,9.89,0.0,20.5,13.3,18.3,11.5,18.0
ur,26.4,58.5,6.95,13.2,7.41,0.0,18.1,37.6,19.9,39.6
bn,21.1,32.3,6.04,12.1,7.18,24.9,0.0,23.9,15.2,21.6
gu,28.2,56.7,7.74,15.2,7.97,45.1,20.5,0.0,24.1,39.3
mr,25.0,44.1,6.6,13.3,7.75,34.0,18.1,32.8,0.0,29.9
pa,30.0,71.7,8.19,15.4,8.53,54.2,20.5,44.4,24.6,0.0
